Country,Capital,Continent,Population,Unicorn Count,Unicorns / 10M Population,Unnamed: 6,Bin
Antarctica,Antarctica,Antarctica,10,0,0.0,,0
Afghanistan,Kabul,Asia,41128771,0,0.0,,0
Albania,Tirana,Europe,2842321,0,0.0,,0
Algeria,Algiers,Africa,44903225,0,0.0,,0
American Samoa,Pago Pago,Oceania,44273,0,0.0,,0
Andorra,Andorra la Vella,Europe,79824,0,0.0,,0
Angola,Luanda,Africa,35588987,0,0.0,,0
Anguilla,The Valley,North America,15857,0,0.0,,0
Antigua and Barbuda,Saint John’s,North America,93763,0,0.0,,0
Argentina,Buenos Aires,South America,45510318,1,0.219730392,,1-3
Armenia,Yerevan,Asia,2780469,0,0.0,,0
Aruba,Oranjestad,North America,106445,0,0.0,,0
Australia,Canberra,Oceania,26177413,6,2.292052312,,4-6
Austria,Vienna,Europe,8939617,2,2.237232311,,1-3
Azerbaijan,Baku,Asia,10358074,0,0.0,,0
Bahamas,Nassau,North America,409984,1,24.39119575,,1-3
Bahrain,Manama,Asia,1472233,0,0.0,,0
Bangladesh,Dhaka,Asia,171186372,0,0.0,,0
Barbados,Bridgetown,North America,281635,0,0.0,,0
Belarus,Minsk,Europe,9534954,0,0.0,,0
Belgium,Brussels,Europe,11655930,3,2.5737972,,1-3
Belize,Belmopan,North America,405272,0,0.0,,0
Benin,Porto-Novo,Africa,13352864,0,0.0,,0
Bermuda,Hamilton,North America,64184,0,0.0,,0
Bhutan,Thimphu,Asia,782455,0,0.0,,0
Bolivia,Sucre,South America,12224110,0,0.0,,0
Bosnia and Herzegovina,Sarajevo,Europe,3233526,0,0.0,,0
Botswana,Gaborone,Africa,2630296,0,0.0,,0
Brazil,Brasilia,South America,215313498,16,0.743102506,,11-20
British Virgin Islands,Road Town,North America,31305,0,0.0,,0
Brunei,Bandar Seri Begawan,Asia,449002,0,0.0,,0
Bulgaria,Sofia,Europe,6781953,0,0.0,,0
Burkina Faso,Ouagadougou,Africa,22673762,0,0.0,,0
Burundi,Bujumbura,Africa,12889576,0,0.0,,0
Cambodia,Phnom Penh,Asia,16767842,0,0.0,,0
Cameroon,Yaounde,Africa,27914536,0,0.0,,0
Canada,Ottawa,North America,38454327,19,4.940926414,,11-20
Cape Verde,Praia,Africa,593149,0,0.0,,0
Cayman Islands,George Town,North America,68706,0,0.0,,0
Central African Republic,Bangui,Africa,5579144,0,0.0,,0
Chad,N'Djamena,Africa,17723315,0,0.0,,0
Chile,Santiago,South America,19603733,2,1.020213854,,1-3
China,Beijing,Asia,1425887337,174,1.220292764,,51+
Colombia,Bogota,South America,51874024,2,0.385549423,,1-3
Comoros,Moroni,Africa,836774,0,0.0,,0
Cook Islands,Avarua,Oceania,17011,0,0.0,,0
Costa Rica,San José,North America,5180829,0,0.0,,0
Croatia,Zagreb,Europe,4030358,1,2.481169167,,1-3
Cuba,Havana,North America,11212191,0,0.0,,0
Curacao,Willemstad,North America,191163,0,0.0,,0
Cyprus,Nicosia,Europe,1251488,0,0.0,,0
Czech Republic,Prague,Europe,10493986,1,0.952926753,,1-3
Denmark,Copenhagen,Europe,5882261,2,3.400053143,,1-3
Djibouti,Djibouti,Africa,1120849,0,0.0,,0
Dominica,Roseau,North America,72737,0,0.0,,0
Dominican Republic,Santo Domingo,North America,11228821,0,0.0,,0
Congo,Kinshasa,Africa,99010212,0,0.0,,0
Ecuador,Quito,South America,18001000,0,0.0,,0
Egypt,Cairo,Africa,110990103,0,0.0,,0
El Salvador,San Salvador,North America,6336392,0,0.0,,0
Equatorial Guinea,Malabo,Africa,1674908,0,0.0,,0
Eritrea,Asmara,Africa,3684032,0,0.0,,0
Estonia,Tallinn,Europe,1326062,2,15.08225106,,1-3
Eswatini,Mbabane,Africa,1201670,0,0.0,,0
Ethiopia,Addis Ababa,Africa,123379924,0,0.0,,0
Falkland Islands,Stanley,South America,3780,0,0.0,,0
Faroe Islands,Tórshavn,Europe,53090,0,0.0,,0
Fiji,Suva,Oceania,929766,0,0.0,,0
Finland,Helsinki,Europe,5540745,3,5.414434341,,1-3
France,Paris,Europe,64626628,24,3.713639523,,21-50
French Guiana,Cayenne,South America,304557,0,0.0,,0
French Polynesia,Papeete,Oceania,306279,0,0.0,,0
Gabon,Libreville,Africa,2388992,0,0.0,,0
Gambia,Banjul,Africa,2705992,0,0.0,,0
Georgia,Tbilisi,Asia,3744385,0,0.0,,0
Germany,Berlin,Europe,83369843,24,2.878738778,,21-50
Ghana,Accra,Africa,33475870,0,0.0,,0
Gibraltar,Gibraltar,Europe,32649,0,0.0,,0
Greece,Athens,Europe,10384971,0,0.0,,0
Greenland,Nuuk,North America,56466,0,0.0,,0
Grenada,Saint George's,North America,125438,0,0.0,,0
Guadeloupe,Basse-Terre,North America,395752,0,0.0,,0
Guam,Hagåtña,Oceania,171774,0,0.0,,0
Guatemala,Guatemala City,North America,17843908,0,0.0,,0
Guernsey,Saint Peter Port,Europe,63301,0,0.0,,0
Guinea,Conakry,Africa,13859341,0,0.0,,0
Guinea-Bissau,Bissau,Africa,2105566,0,0.0,,0
Guyana,Georgetown,South America,808726,0,0.0,,0
Haiti,Port-au-Prince,North America,11584996,0,0.0,,0
Honduras,Tegucigalpa,North America,10432860,0,0.0,,0
Hong Kong,Hong Kong,Asia,7488865,0,0.0,,0
Hungary,Budapest,Europe,9967308,0,0.0,,0
Iceland,Reykjavík,Europe,372899,0,0.0,,0
India,New Delhi,Asia,1417173173,63,0.444546942,,51+
Indonesia,Jakarta,Asia,275501339,7,0.25408225,,7-10
Iran,Tehran,Asia,88550570,0,0.0,,0
Iraq,Baghdad,Asia,44496122,0,0.0,,0
Ireland,Dublin,Europe,5023109,5,9.953994628,,4-6
Isle of Man,Douglas,Europe,84519,0,0.0,,0
Israel,Jerusalem,Asia,9038309,20,22.12803302,,11-20
Italy,Rome,Europe,59037474,1,0.169383941,,1-3
Ivory Coast,Yamoussoukro,Africa,28160542,0,0.0,,0
Jamaica,Kingston,North America,2827377,0,0.0,,0
Japan,Tokyo,Asia,123951692,6,0.484059548,,4-6
Jersey,Saint Helier,Europe,110778,0,0.0,,0
Jordan,Amman,Asia,11285869,0,0.0,,0
Kazakhstan,Nursultan,Asia,19397998,0,0.0,,0
Kenya,Nairobi,Africa,54027487,0,0.0,,0
Kiribati,Tarawa,Oceania,131232,0,0.0,,0
Kuwait,Kuwait City,Asia,4268873,0,0.0,,0
Kyrgyzstan,Bishkek,Asia,6630623,0,0.0,,0
Laos,Vientiane,Asia,7529475,0,0.0,,0
Latvia,Riga,Europe,1850651,0,0.0,,0
Lebanon,Beirut,Asia,5489739,0,0.0,,0
Lesotho,Maseru,Africa,2305825,0,0.0,,0
Liberia,Monrovia,Africa,5302681,0,0.0,,0
Libya,Tripoli,Africa,6812341,0,0.0,,0
Liechtenstein,Vaduz,Europe,39327,0,0.0,,0
Lithuania,Vilnius,Europe,2750055,1,3.636290911,,1-3
Luxembourg,Luxembourg,Europe,647599,1,15.44165448,,1-3
Macau,Concelho de Macau,Asia,695168,0,0.0,,0
Madagascar,Antananarivo,Africa,29611714,0,0.0,,0
Malawi,Lilongwe,Africa,20405317,0,0.0,,0
Malaysia,Kuala Lumpur,Asia,33938221,13,3.830489524,,11-20
Maldives,Malé,Asia,523787,0,0.0,,0
Mali,Bamako,Africa,22593590,0,0.0,,0
Malta,Valletta,Europe,533286,0,0.0,,0
Marshall Islands,Majuro,Oceania,41569,0,0.0,,0
Martinique,Fort-de-France,North America,367507,0,0.0,,0
Mauritania,Nouakchott,Africa,4736139,0,0.0,,0
Mauritius,Port Louis,Africa,1299469,0,0.0,,0
Mayotte,Mamoudzou,Africa,326101,0,0.0,,0
Mexico,Mexico City,North America,127504125,6,0.470573011,,4-6
Micronesia,Palikir,Oceania,114164,0,0.0,,0
Moldova,Chisinau,Europe,3272996,0,0.0,,0
Monaco,Monaco,Europe,36469,0,0.0,,0
Mongolia,Ulaanbaatar,Asia,3398366,0,0.0,,0
Montenegro,Podgorica,Europe,627082,0,0.0,,0
Montserrat,Brades,North America,4390,0,0.0,,0
Morocco,Rabat,Africa,37457971,0,0.0,,0
Mozambique,Maputo,Africa,32969517,0,0.0,,0
Myanmar,Nay Pyi Taw,Asia,54179306,0,0.0,,0
Namibia,Windhoek,Africa,2567012,0,0.0,,0
Nauru,Yaren,Oceania,12668,0,0.0,,0
Nepal,Kathmandu,Asia,30547580,0,0.0,,0
Netherlands,Amsterdam,Europe,17564014,6,3.416075619,,4-6
New Caledonia,Nouméa,Oceania,289950,0,0.0,,0
New Zealand,Wellington,Oceania,5185288,0,0.0,,0
Nicaragua,Managua,North America,6948392,0,0.0,,0
Niger,Niamey,Africa,26207977,0,0.0,,0
Nigeria,Abuja,Africa,218541212,1,0.04575796,,1-3
Niue,Alofi,Oceania,1934,0,0.0,,0
North Korea,Pyongyang,Asia,26069416,0,0.0,,0
North Macedonia,Skopje,Europe,2093599,0,0.0,,0
Northern Mariana Islands,Saipan,Oceania,49551,0,0.0,,0
Norway,Oslo,Europe,5434319,4,7.360627891,,4-6
Oman,Muscat,Asia,4576298,0,0.0,,0
Pakistan,Islamabad,Asia,235824862,0,0.0,,0
Palau,Ngerulmud,Oceania,18055,0,0.0,,0
Palestine,Ramallah,Asia,5250072,0,0.0,,0
Panama,Panama City,North America,4408581,0,0.0,,0
Papua New Guinea,Port Moresby,Oceania,10142619,0,0.0,,0
Paraguay,Asunción,South America,6780744,0,0.0,,0
Peru,Lima,South America,34049588,0,0.0,,0
Philippines,Manila,Asia,115559009,2,0.173071751,,1-3
Poland,Warsaw,Europe,39857145,0,0.0,,0
Portugal,Lisbon,Europe,10270865,0,0.0,,0
Puerto Rico,San Juan,North America,3252407,0,0.0,,0
Qatar,Doha,Asia,2695122,0,0.0,,0
Republic of the Congo,Brazzaville,Africa,5970424,0,0.0,,0
Reunion,Saint-Denis,Africa,974052,0,0.0,,0
Romania,Bucharest,Europe,19659267,0,0.0,,0
Russia,Moscow,Europe,144713314,0,0.0,,0
Rwanda,Kigali,Africa,13776698,0,0.0,,0
Saint Barthelemy,Gustavia,North America,10967,0,0.0,,0
Saint Kitts and Nevis,Basseterre,North America,47657,0,0.0,,0
Saint Lucia,Castries,North America,179857,0,0.0,,0
Saint Martin,Marigot,North America,31791,0,0.0,,0
Saint Pierre and Miquelon,Saint-Pierre,North America,5862,0,0.0,,0
Saint Vincent and the Grenadines,Kingstown,North America,103948,0,0.0,,0
Samoa,Apia,Oceania,222382,0,0.0,,0
San Marino,San Marino,Europe,33660,0,0.0,,0
Sao Tome and Principe,São Tomé,Africa,227380,0,0.0,,0
Saudi Arabia,Riyadh,Asia,36408820,0,0.0,,0
Senegal,Dakar,Africa,17316449,1,0.577485603,,1-3
Serbia,Belgrade,Europe,7221365,0,0.0,,0
Seychelles,Victoria,Africa,107118,0,0.0,,0
Sierra Leone,Freetown,Africa,8605718,0,0.0,,0
Singapore,Singapore,Asia,5975689,0,0.0,,0
Sint Maarten,Philipsburg,North America,44175,0,0.0,,0
Slovakia,Bratislava,Europe,5643453,0,0.0,,0
Slovenia,Ljubljana,Europe,2119844,0,0.0,,0
Solomon Islands,Honiara,Oceania,724273,0,0.0,,0
Somalia,Mogadishu,Africa,17597511,0,0.0,,0
South Africa,Pretoria,Africa,59893885,2,0.333923906,,1-3
Korea,Seoul,Asia,51815810,12,2.315895477,,11-20
South Sudan,Juba,Africa,10913164,0,0.0,,0
Spain,Madrid,Europe,47558630,3,0.630800341,,1-3
Sri Lanka,Colombo,Asia,21832143,0,0.0,,0
Sudan,Khartoum,Africa,46874204,0,0.0,,0
Suriname,Paramaribo,South America,618040,0,0.0,,0
Sweden,Stockholm,Europe,10549347,6,5.687555827,,4-6
Switzerland,Bern,Europe,8740472,5,5.720514865,,4-6
Syria,Damascus,Asia,22125249,0,0.0,,0
Taiwan,Taipei,Asia,23893394,0,0.0,,0
Tajikistan,Dushanbe,Asia,9952787,0,0.0,,0
Tanzania,Dodoma,Africa,65497748,0,0.0,,0
Thailand,Bangkok,Asia,71697030,2,0.278951583,,1-3
Timor-Leste,Dili,Asia,1341296,0,0.0,,0
Togo,Lomé,Africa,8848699,0,0.0,,0
Tokelau,Nukunonu,Oceania,1871,0,0.0,,0
Tonga,Nuku‘alofa,Oceania,106858,0,0.0,,0
Trinidad and Tobago,Port-of-Spain,North America,1531044,0,0.0,,0
Tunisia,Tunis,Africa,12356117,0,0.0,,0
Turkey,Ankara,Asia,85341241,3,0.351529924,,1-3
Turkmenistan,Ashgabat,Asia,6430770,0,0.0,,0
Turks and Caicos Islands,Cockburn Town,North America,45703,0,0.0,,0
Tuvalu,Funafuti,Oceania,11312,0,0.0,,0
Uganda,Kampala,Africa,47249585,0,0.0,,0
Ukraine,Kiev,Europe,39701739,0,0.0,,0
United Arab Emirates,Abu Dhabi,Asia,9441129,3,3.17758607,,1-3
United Kingdom,London,Europe,67508936,42,6.221398601,,21-50
United States,"Washington, D.C.",North America,338289857,537,15.87396101,,51+
United States Virgin Islands,Charlotte Amalie,North America,99465,0,0.0,,0
Uruguay,Montevideo,South America,3422794,0,0.0,,0
Uzbekistan,Tashkent,Asia,34627652,0,0.0,,0
Vanuatu,Port-Vila,Oceania,326740,0,0.0,,0
Vatican City,Vatican City,Europe,510,0,0.0,,0
Venezuela,Caracas,South America,28301696,0,0.0,,0
Vietnam,Hanoi,Asia,98186856,2,0.203693252,,1-3
Wallis and Futuna,Mata-Utu,Oceania,11572,0,0.0,,0
Western Sahara,El Aaiún,Africa,575986,0,0.0,,0
Yemen,Sanaa,Asia,33696614,0,0.0,,0
Zambia,Lusaka,Africa,20017675,0,0.0,,0
Zimbabwe,Harare,Africa,16320537,0,0.0,,0
